CACO2;COLO201;COLO205;COLO320;DLD1;HCC2998;HCT116;HCT15;HT29;IS1;IS2;KM12;LIM1215;LIM2405;RKO;RW2982;RW7213;SKCO1;SW1116;SW403;SW620;SW837;SW948;T84;VACO5
ABCG2;9.235327789;4.523954368;5.941884471;4.2746142;7.081160504;7.436320799;5.539926253;5.759819386;9.371911045;4.42084508;4.724775879;9.591478409;4.85311297;6.362440908;5.706792728;7.797582551;7.149337018;5.86148711;4.45771437;7.756714015;4.566419897;7.269360522;6.940584821;5.229107724;6.396543085
ADH6;5.568816058;4.535423465;4.608690028;4.206431698;4.481816319;5.596125438;4.716778338;4.410348624;5.502587131;4.347079086;4.156169257;4.413030708;5.349681914;4.385962703;4.600264373;4.463340842;4.389710026;4.478607766;5.95816592;7.805542367;4.353988745;4.418165285;5.383077102;4.782729163;4.747635847
AKR1C4;3.399709011;4.822494623;5.725937601;3.271117978;3.469872673;3.812276883;3.497238547;3.21840256;4.0381553;3.314077206;4.017084106;3.460930944;3.915858425;3.319922978;3.320629375;3.538683092;5.094905327;3.276600451;3.672824832;5.72669826;5.18103624;3.456016009;3.806211472;3.440030933;3.406249308
BCL11B;3.976688477;8.656481227;8.886570406;8.242660599;4.381800913;6.58484998;4.798469043;5.136118294;7.070165617;3.860758837;6.235394084;7.883745348;7.52830811;6.01611859;4.251822456;4.641034202;7.567529071;7.83771565;8.220087452;7.946809304;7.309528804;6.554070521;6.66297847;5.000058643;7.494405246
CA9;5.36383525;6.111262283;7.753001526;5.252912024;5.437670298;6.491426333;5.346641612;6.874581344;8.236488783;5.397673532;5.050931956;5.453254503;5.277494484;5.426103823;5.274086028;5.620443459;5.548058154;5.99921883;5.996158958;7.38111896;7.131711267;6.838744631;5.762996129;5.886594913;5.265438836
CCR6;3.734392692;5.658283384;7.085923226;3.609942745;3.753245526;3.672668713;3.54612926;3.798522899;3.504813897;3.660416268;3.546265796;3.721879527;3.594960303;3.788217891;3.522596458;3.707629983;3.66592113;3.5940246;3.88403014;5.330116837;3.639591448;3.743029344;3.822607649;3.833718123;3.534744032
CST7;4.88771144;9.188902311;8.704753535;4.843540915;10.6494989;5.771958858;5.475999985;6.546189247;5.353279303;11.18508399;6.941614963;5.144167663;5.31259985;5.307826036;5.487824493;5.861553705;6.30911986;5.289203525;5.486230146;5.602461743;9.735572568;8.091143658;5.577338229;5.755469386;5.300685011
CX3CL1;4.868544964;5.256651368;5.061723452;4.632391116;6.615400475;4.620724075;4.789552795;5.120753799;5.219959654;4.713419951;5.929383193;4.807569708;5.371156412;4.788240081;4.824464347;4.834118746;6.089950467;5.002712596;5.149437809;4.838949639;5.861013742;5.411941577;5.145144454;6.772423826;4.807663151
CYP27A1;7.178887266;8.498511639;8.707728306;6.232683043;6.340541886;6.50422001;6.616324876;6.183976883;6.429545965;6.338605695;7.061925083;6.436386628;6.423154874;6.362473247;6.546933903;6.540941213;7.777952748;6.583634747;7.04492965;8.7729312;7.162576585;6.634556358;7.57933705;6.633913438;6.491393805
DAPP1;3.688453579;3.724940743;3.588131548;3.472529401;3.894148442;3.693112658;4.676244321;3.567973113;5.837739729;6.026172153;6.129852282;3.717059356;6.633380704;3.872451231;3.749690825;4.093278137;5.125804276;3.847321975;4.307281824;3.915642793;3.581488467;3.615550547;4.30290516;6.260336511;3.692632467
ELAVL2;3.864826404;4.003204241;3.619688717;8.539699111;3.40853811;4.678668852;3.826337215;3.761520675;3.655884409;4.04672707;3.671542248;3.242424593;3.649488199;3.637547576;3.915803234;3.314311474;3.309085298;3.423123844;4.039969072;4.470918312;6.868068455;4.848802082;3.436579219;3.404799296;3.865460428
FAM84A;3.863624662;4.517481316;4.126362728;9.408027044;7.700143016;9.17851081;4.260801243;4.695405566;4.962446649;3.845546444;10.22438615;4.247624387;9.937366647;4.013396715;4.129511938;4.240843666;8.54509189;9.338214383;9.835140522;8.330078469;3.314837887;5.960506446;9.554041646;10.00891027;6.983567426
GREM1;3.235966751;3.516475036;3.50674341;7.533058173;3.372676637;4.215964497;3.706150251;3.25598242;3.481810547;9.271489503;7.783708337;3.380278576;4.451607201;3.584445908;3.608475963;3.243505754;7.434222758;3.421833294;3.320476095;3.235835197;3.34781502;6.199084673;8.370073813;7.735567788;3.456787636
HSD17B2;5.454808185;7.77193194;6.926366817;3.61336993;3.810364289;4.857137907;3.511999303;3.573010196;8.450618638;4.421139207;5.69341819;8.873591424;4.000422817;3.468344669;3.547106435;3.696827565;9.129496888;3.855064839;4.250886254;5.877096456;4.993628135;3.728880721;4.087482137;5.107016631;3.734999754
INHBB;10.45656561;9.657839738;9.077425803;7.362043064;8.068280654;6.070339055;5.891911436;7.250818289;4.66788668;6.40144312;6.019456883;5.120702802;5.152483712;6.036099652;5.285154323;5.049603629;7.643654434;7.492325126;4.968217896;6.400870752;10.07608282;5.610618205;5.230055445;5.434283988;5.021456943
KCNV1;3.114865539;3.947188848;4.724903696;5.288121073;6.551674319;2.880770691;3.160087333;4.773124722;3.076739501;3.456438628;6.248032389;2.881096332;5.23491517;3.770478735;3.273375328;2.909905439;3.460255465;3.804670414;6.0924593;2.892110746;3.005600764;3.152549253;6.300179948;5.886268367;3.199543943
LHFP;8.506378525;3.851305097;3.860525567;7.150522085;6.534060883;3.381651136;4.582029641;5.265281797;3.740762552;4.565443674;3.729332824;5.514057625;5.992397573;3.686882379;3.885577993;5.058210484;3.524246004;3.432261907;3.488151614;4.32983573;5.338388487;3.782192336;3.462426978;3.443860067;3.889989114
LRP2;7.454045576;3.782784963;3.84179563;3.862743692;3.975073217;3.754853304;3.890059122;4.043830139;4.012270682;4.105221663;3.707985363;3.943041983;3.878476049;4.025513089;4.086146908;3.966844749;3.816847956;6.843602707;3.920968103;4.936109134;3.793278043;3.932973624;3.954967948;3.962569037;3.974081614
MAGEE1;4.613624482;4.585644966;4.598498984;6.732103266;4.383083877;4.491043763;6.355565881;4.652290364;4.262359229;4.681019797;4.670497748;4.565808258;4.310658193;4.510356745;4.467346681;4.259841422;4.310346274;4.471121404;4.649976153;4.640913364;4.524742969;4.448111179;4.774109621;5.968545545;4.302589016
MEP1A;3.931834665;3.790570765;3.926714089;3.536307573;3.544035377;4.327097366;3.77529222;3.625434746;3.807893439;3.572090404;5.345336139;3.854263863;4.365928494;3.749714938;3.793201324;3.635470224;6.306276382;3.50694826;7.134568285;8.44074102;3.678290951;3.589382103;4.919621343;4.724614031;3.984192934
MYT1;4.232444972;8.276286678;7.272413225;6.584271308;3.980412089;4.007305849;4.581631781;4.172415703;4.668366326;4.253930868;4.370696232;4.024988536;4.361041546;4.247830203;4.266820936;3.985712762;4.372583198;4.056249567;4.052830869;4.801748746;6.215055086;4.298120621;4.576220917;4.035834198;4.129823354
NOX1;7.330422613;3.19618796;3.327669688;4.150387966;4.370412564;3.229589916;3.251330167;3.167627388;6.666648331;3.010234116;3.623008937;3.351146177;5.999047338;3.404246509;3.320784389;3.157486393;3.265813243;6.894808955;8.8817661;7.429588594;3.346389204;3.01044911;3.534555037;4.659404227;3.232044794
OAS2;3.911676107;4.444594977;4.419497097;3.91240341;3.952067652;4.450027514;4.010664985;3.58335622;4.210955395;4.96514046;4.412154672;4.018984562;5.367942414;3.893959048;3.890761952;4.10115734;4.942203234;4.251020846;4.297768745;4.010089198;4.052496857;6.801116297;4.257552172;8.139146624;4.163022785
PHYHIPL;7.90190179;4.754500523;4.769431888;6.664316174;4.383291407;4.684753096;5.207208055;4.658585071;4.786308772;4.838767428;4.651644183;4.730501064;4.729290908;4.538761247;4.929742796;5.185354313;4.539919488;4.835653755;4.760631288;5.005858929;7.886298029;4.578288122;4.80649872;5.175104517;4.877218323
POF1B;6.552249896;6.889034042;7.528523867;3.789816822;5.845151427;6.633516909;4.217101332;4.247933562;8.483462029;4.141090712;8.67836714;8.030683172;8.69268571;3.812694889;4.14907056;4.046401711;7.993718232;8.065710241;7.32021964;8.222537291;6.783685981;4.307692109;7.908914406;8.719786678;7.674576537
POPDC3;3.968097892;3.870422955;3.700584974;7.77842208;4.439333283;3.539006944;8.064890571;4.609517659;3.704043593;7.83518856;3.747558154;3.622062444;3.723895754;3.531337259;3.721369889;3.762764498;3.701610854;3.616671071;3.502441886;3.512176341;4.76374339;3.518221936;3.739459682;3.772584801;3.888305242
