CACO2;COLO201;COLO205;COLO320;DLD1;HCC2998;HCT116;HCT15;HT29;IS1;IS2;KM12;LIM1215;LIM2405;RKO;RW2982;RW7213;SKCO1;SW1116;SW403;SW620;SW837;SW948;T84;VACO5
ABCG2;0.056010885;0.13170902;0.040691825;0.7037734;0.086174205;0.109234575;0.146385665;0.070915985;0.03104116;0.66724945;0.4881691;0.04920318;0.45602585;0.0571293;0.035045705;0.03852903;0.038548655;0.06711647;0.03121829;0.06533537;0.05341527;0.02892777;0.03503121;0.112787625;0.032281435
ADH6;0.1059322;0.1204447;0.08523382;0.4672848;0.5508357;0.1228292;0.8884326;0.4725376;0.1134533;0.3370068;0.1105121;0.7539682;0.08198693;0.8610981;0.8825377;0.1003655;0.0702995;0.3299734;0.1213828;0.08995421;0.1178812;0.1884936;0.08898748;0.04215359;0.6731269
AKR1C4;0.7886792;0.08905013;0.1040576;0.08497468;0.6857954;0.09640103;0.7530612;0.5222415;0.2901666;0.3818538;0.09898305;0.7472168;0.7616245;0.6595744;0.6500868;0.1426649;0.08979364;0.5283541;0.1021466;0.1267327;0.06712673;0.1911765;0.2360999;0.3340875;0.7659883
BCL11B;0.1129075;0.01614739;0.01813761;0.01469268;0.4202559;0.01856055;0.6983461;0.1045553;0.01710882;0.04928394;0.02573498;0.01965898;0.01862787;0.02195122;0.8737754;0.01841274;0.01549737;0.02098094;0.01867548;0.02391822;0.01785135;0.01450376;0.02457915;0.01241321;0.01244567
CA9;0.8362651;0.081530465;0.060976985;0.6916921;0.78657615;0.094837645;0.73807625;0.076695675;0.05018044;0.77220165;0.13110785;0.6529597;0.6469611;0.854078;0.6490713;0.7346457;0.2694461;0.28815425;0.17298925;0.069871345;0.072940165;0.3205009;0.1581916;0.145183575;0.7751813
CCR6;0.4737253;0.104134125;0.04785841;0.157630965;0.713177;0.7917294;0.74755655;0.7870455;0.49389775;0.4738621;0.436972175;0.64719565;0.5302905;0.7072524;0.26528595;0.43712425;0.447529045;0.5604532;0.445011135;0.21465393;0.63731525;0.46443325;0.357744075;0.269571575;0.7686354
CST7;0.79586515;0.041339865;0.06920059;0.4235018;0.1118033;0.041133205;0.8113594;0.22283255;0.7524459;0.078044745;0.55078475;0.79416145;0.8262114;0.8412365;0.7768094;0.5411803;0.8557565;0.59100835;0.62504595;0.58673305;0.04741048;0.15583795;0.67793845;0.69973525;0.6502911
CX3CL1;0.7203452;0.13028714;0.09998376;0.51230825;0.067320485;0.050013165;0.6912868;0.079674185;0.09965435;0.37565475;0.066432895;0.41542615;0.212354935;0.75748475;0.55795125;0.246905985;0.056506445;0.18358226;0.054098545;0.189242615;0.04678853;0.057910355;0.086769405;0.036498245;0.4875582
CYP27A1;0.05908791;0.03450872;0.0252228;0.764402;0.8388278;0.04034657;0.8724587;0.8865204;0.19992;0.635191;0.04342831;0.8491393;0.7055463;0.8531639;0.8817261;0.1066689;0.03495172;0.2122722;0.04955621;0.05200907;0.04216301;0.04868537;0.02648357;0.87341;0.8195006
DAPP1;0.7861989;0.6819001;0.4123989;0.8388292;0.6130989;0.8242894;0.8200926;0.8073854;0.1399639;0.06803519;0.06062614;0.8167176;0.122696;0.8307802;0.8460314;0.7629081;0.06142353;0.8129681;0.08860095;0.4352044;0.8446139;0.7965574;0.4954989;0.03780719;0.8102914
ELAVL2;0.127959605;0.6747488;0.573808;0.02183298;0.5658209;0.030513;0.6051496;0.52389085;0.51757425;0.811988;0.4117516;0.58367125;0.439802415;0.6750989;0.6540597;0.071384625;0.025026035;0.136594635;0.446102675;0.036096005;0.030604575;0.053372475;0.7313801;0.41958395;0.4465328
FAM84A;0.23852875;0.04876865;0.11410289;0.02002197;0.071170765;0.116690585;0.8705807;0.4308607;0.232786935;0.07200807;0.03732119;0.46065195;0.10837779;0.32460305;0.63345745;0.031646685;0.029842365;0.02714936;0.034449705;0.039584345;0.12357605;0.02722584;0.03682218;0.0225603;0.22013301
GREM1;0.6324081;0.67305;0.67322995;0.4686228;0.86660695;0.5798218;0.91305285;0.9087534;0.7405298;0.470749255;0.22051578;0.9140637;0.412886265;0.62924335;0.92926515;0.7168926;0.194727515;0.80229095;0.803577;0.3620753;0.55677065;0.404923185;0.421403645;0.56298935;0.62529415
HSD17B2;0.14023958;0.050408545;0.056681755;0.77557575;0.26471265;0.13252924;0.7974268;0.6028768;0.05422838;0.31949625;0.065113725;0.07526887;0.10366635;0.44686305;0.86890945;0.06716498;0.09043019;0.236128975;0.05458782;0.07940104;0.08412579;0.08444599;0.09099014;0.055667385;0.50128105
INHBB;0.090696225;0.059396405;0.06222488;0.06458758;0.16381407;0.060072345;0.15878435;0.06730432;0.5487406;0.18235665;0.2406529;0.5369114;0.09595917;0.07898034;0.92024235;0.057144915;0.11256995;0.196318105;0.098691115;0.1251815;0.060694545;0.52337405;0.3312071;0.077447485;0.8996371
KCNV1;0.2444573;0.043890585;0.04094931;0.126091215;0.05224861;0.086673865;0.6010277;0.03392055;0.73470075;0.049805015;0.04324364;0.75086905;0.048672965;0.85831745;0.8265038;0.04489604;0.03873574;0.38438375;0.10230051;0.070743235;0.0885993;0.8711582;0.037728325;0.02513415;0.68929745
LHFP;0.03933751;0.82495565;0.74497785;0.023217795;0.05155024;0.06984985;0.6862893;0.122346695;0.9213775;0.049288675;0.04862197;0.47925085;0.046033605;0.91509415;0.9352421;0.04060459;0.03201701;0.222226915;0.052163345;0.08440984;0.07914193;0.6321926;0.033070235;0.04278773;0.9037871
LRP2;0.095111155;0.87197095;0.87409485;0.057411565;0.85105885;0.30711165;0.86212195;0.88756035;0.85103025;0.7304903;0.34119215;0.8417219;0.077365475;0.85945175;0.87849765;0.09975286;0.31480818;0.08094614;0.5889056;0.1098815;0.2703854;0.8287102;0.53942895;0.126225995;0.84927845
MAGEE1;0.251429285;0.5153527;0.67810455;0.06455209;0.57965105;0.75155005;0.062730415;0.58398855;0.51386495;0.3937065;0.3663256;0.66147105;0.22495715;0.595362;0.76843985;0.18894595;0.076902855;0.11952015;0.52396605;0.37804455;0.68740355;0.56948795;0.4891377;0.03084733;0.43295975
MEP1A;0.15109625;0.41339125;0.1835577;0.50357465;0.6869547;0.66343375;0.8520415;0.4704404;0.3580462;0.7380373;0.089523985;0.39949665;0.11332015;0.71214425;0.8401988;0.1315789;0.08099994;0.15909195;0.1108277;0.11673979;0.55994245;0.246538;0.06645418;0.04602481;0.8272397
MYT1;0.5130118;0.069110665;0.064541115;0.06237301;0.7991466;0.05113233;0.89661995;0.8584993;0.042974845;0.5030311;0.4520728;0.63777515;0.47006815;0.82417975;0.8813146;0.2285037;0.38734175;0.4026366;0.06663977;0.2396117;0.04483234;0.45550375;0.4050415;0.45158925;0.3278775
