X17753;X17754;X17755;X17756;X17757;X17758;X17760;X17761;X17762;X17763;X17764;X17765;X17766;X17767;X17768;X17769;X17770;X17771;X17772;X17773;X17774;X17775;X17776;X17777;X17778
B4GALT6;1.624099;1.475166;1.427061;1.448588;1.380596;1.118456;7.532611;1.721877;9.156515;8.092236;1.295826;1.119185;1.972689;2.570783;1.770666;1.697946;1.967569;1.350977;2.240371;1.750621;0.175378;1.756327;1.950797;1.840838;2.550456
C1QL1;1.400451;1.151322;1.250974;9.896191;1.278659;1.015334;8.039632;1.075956;1.009174;8.739902;1.196626;1.221447;1.894397;2.425249;1.533058;2.561242;1.718425;1.649541;1.721647;1.780739;1.383619;1.263265;1.556134;1.406681;1.226135
CNR1;9.994417;1.203476;1.080935;1.003359;1.047542;9.454793;0.904983;9.996001;8.874313;7.748831;8.865501;1.155268;1.674681;1.773645;1.243154;3.838887;1.788795;1.539244;1.398134;0.180617;1.290969;1.587464;1.472794;1.499683;1.231849
DMBT1;4.916747;0;0;0.002325;9.540705;0;7.398751;4.555232;2.245995;6.443061;8.397218;0.361959;9.826848;3.945492;0;1.488747;1.177206;2.453048;1.545312;0;7.186882;1.756727;5.385963;0;2.387209
ELOVL6;2.293954;1.808776;1.751254;9.518856;1.399398;7.513215;6.210817;0;6.321274;1.129292;0;0.857485;3.006766;2.757259;1.011288;5.339601;3.758282;4.249104;3.302798;0;3.376761;6.538846;3.374425;8.832742;3.625436
EOMES;1.202385;1.898663;1.207032;1.073895;1.749243;1.164692;9.756121;1.750991;1.113321;1.006558;6.862151;1.571556;2.523876;5.695522;3.143107;9.443788;2.308257;1.547906;2.375155;2.196218;1.727274;3.341983;3.626346;2.030999;0.230577
ERG;1.257393;0.124389;0.156175;1.079325;9.627291;1.169321;9.875234;1.166114;1.002756;8.463843;1.684935;1.365309;2.016215;2.724716;1.789371;2.327717;5.993632;2.116006;2.872303;2.265003;1.492175;2.680621;2.312458;2.323129;1.736653
GSTM3;1.762917;2.578332;3.281021;1.772164;0.183329;1.228494;1.666753;9.760326;1.657174;8.523143;9.478167;5.311987;1.887121;3.741244;2.299364;2.530216;8.102931;7.242574;4.884467;0;1.926796;2.886601;1.724277;2.576206;2.850598
IL17RC;9.160516;1.026811;1.094097;8.480482;9.548795;9.946494;9.801766;8.878382;8.405563;7.733398;1.313583;1.065176;0.172151;2.370235;1.338268;2.320332;1.925379;0.158052;1.885904;1.813659;1.589683;0.164675;0.160155;1.245532;1.280668
LPHN2;1.238981;1.834733;4.796551;1.998369;1.931611;2.183658;1.476342;1.335981;1.153287;7.927878;8.978383;3.091103;4.658687;0;3.193578;0.919995;0.807973;1.025512;0.298993;6.150507;3.016538;5.390974;0.200558;2.712483;2.696805
LRRTM1;1.023852;1.088832;1.135242;8.762157;1.132294;3.493086;1.187778;0.880107;8.377239;7.779437;8.999731;1.008057;1.538242;1.766174;1.254791;2.621063;4.434814;1.263109;1.269403;1.344246;1.284998;1.175462;0.122592;1.392166;1.641219
MME;2.401302;2.379077;6.630477;2.451452;2.750334;0.318705;2.447313;1.646825;1.018767;9.809505;2.068293;2.684319;0.318556;4.698891;3.322888;2.044311;0;6.883517;0.359856;7.382415;1.395542;1.774021;0.336776;1.650627;1.911525
MMP19;1.263801;1.281021;1.952322;1.394221;1.089672;1.175662;9.526189;1.006034;9.052583;8.259454;1.110773;1.319934;1.829451;2.089289;1.519112;2.161459;2.199157;3.250644;2.222228;3.361942;1.838268;1.901592;1.846362;0.153491;1.395081
MOSPD2;1.209831;0.119939;1.087001;1.137898;1.085634;1.172432;0.990921;1.282149;8.884878;7.425195;0.135993;1.329026;2.193731;2.876686;1.677604;2.178062;2.693956;1.646867;3.216323;0.212248;1.925521;2.613325;2.033499;1.729493;2.527418
MSX2;1.147812;1.172879;1.115774;0.106786;1.285378;2.132351;1.633932;1.329961;9.207793;8.097581;1.101505;1.049756;2.072233;2.609484;1.866233;0.194691;1.962367;1.826536;2.303955;1.972206;1.762923;1.661198;3.285991;2.954509;2.012052
MTCP1;1.516684;0;1.582417;1.743136;1.485133;2.108706;9.494379;2.174626;1.300984;1.173749;1.107883;2.327559;4.057689;0;2.097092;2.369324;2.922782;1.679752;1.460067;1.570987;1.889317;2.699403;2.582162;1.209389;1.728495
MTMR8;1.141343;1.108137;1.086424;1.010844;1.038299;8.823412;7.788242;1.027284;8.587749;0.840333;9.302158;9.232642;1.656307;0;1.453988;1.836029;1.703879;1.384172;1.438925;1.466696;1.648126;1.501194;1.432686;1.521265;1.466064
