X17753;X17754;X17755;X17756;X17757;X17758;X17760;X17761;X17762;X17763;X17764;X17765;X17766;X17767;X17768;X17769;X17770;X17771;X17772;X17773;X17774;X17775;X17776;X17777;X17778
B4GALT6;0.068266821;0.05467649;0.047997666;0.061146549;0.065579869;0.21913174;0.061170454;0.056550848;0.042371956;0.075809708;0.067043143;0.311869186;0.097182077;0.068518947;0.070606687;0.073391935;0.056744488;0.053555785;0.057830169;0.06453555;0.621647469;0.072989547;0.05300392;0.065798688;0.059332575
C1QL1;0.323528346;0.502839298;0.115442199;0.068247676;0.859241353;0.358220028;0.582078986;0.87306892;0.130372453;0.071589331;0.093353552;0.510912409;0.646748362;0.126490016;0.132106898;0.419038039;0.763490762;0.14312483;0.082991099;0.071071002;0.083919342;0.267003733;0.091684481;0.379432996;0.065481196
CNR1;0.271673125;0.337788551;0.115250862;0.735483611;0.12862635;0.724396994;0.082057862;0.147880256;0.205950586;0.152791161;0.663609651;0.449904025;0.370217026;0.274071197;0.442162019;0.086414415;0.460646369;0.021923718;0.142770034;0.337663551;0.111532792;0.519281722;0.038394163;0.392943653;0.57415097
DMBT1;0.176842432;0.162010302;0.122004388;0.52162951;0.149877405;0.626863743;0.166421158;0.188471548;0.125938721;0.412704429;0.171701319;0.244191119;0.202751905;0.242072839;0.23626524;0.125177015;0.367382113;0.102432268;0.202818675;0.224354169;0.125743618;0.244760729;0.201163773;0.421585363;0.156927725
ELOVL6;0.11359369;0.077588028;0.074769586;0.055359725;0.070597873;0.070680332;0.079326183;0.070783336;0.062681265;0.064203707;0.074146915;0.073924571;0.065458084;0.074647421;0.066885769;0.068629323;0.067054596;0.068215223;0.065428893;0.058825155;0.067662199;0.066007109;0.060196739;0.072659192;0.068740598
EOMES;0.08878218;0.098082873;0.098920944;0.071108552;0.716501235;0.101973441;0.41628307;0.085981988;0.074743149;0.075519875;0.087386204;0.077923732;0.083822295;0.225857351;0.081462007;0.120754162;0.075619605;0.075355911;0.168141275;0.068827914;0.072542697;0.082012799;0.054941326;0.417143986;0.090365065
ERG;0.614852043;0.147740035;0.116097387;0.373156126;0.127090041;0.537288136;0.121609629;0.283666035;0.399583125;0.099669864;0.340337076;0.367752746;0.295553688;0.088516515;0.290713611;0.058004811;0.133109129;0.711612913;0.220028586;0.149807125;0.706221011;0.321459739;0.069341256;0.147842812;0.079949258
GSTM3;0.071116142;0.252790792;0.02381657;0.033675084;0.060795416;0.042549724;0.043322724;0.056820026;0.190208822;0.455058413;0.090453511;0.054799141;0.559287231;0.01764309;0.049653723;0.723975437;0.03054703;0.0379549;0.03729989;0.633524425;0.028290326;0.301664907;0.026545815;0.066694826;0.020571113
IL17RC;0.014888057;0.018350499;0.009980726;0.020310889;0.013199135;0.696947616;0.020643326;0.01803588;0.015201766;0.015621271;0.016209453;0.190030113;0.022026575;0.551059458;0.008901216;0.733002779;0.432316719;0.010827244;0.012943705;0.009719065;0.564862308;0.013902033;0.010324393;0.007566675;0.326637778
LPHN2;0.105516267;0.606985092;0.078204438;0.069131149;0.827135262;0.071468953;0.084548509;0.095893938;0.147142202;0.355381661;0.163451119;0.078934129;0.089027166;0.129992013;0.082523201;0.384795232;0.073325688;0.076829165;0.059705578;0.065986061;0.21979768;0.187863375;0.05885172;0.119337556;0.095952739
LRRTM1;0.044438401;0.075418452;0.878706059;0.121629983;0.054630531;0.024449905;0.707870264;0.045498201;0.123233449;0.042137153;0.043155347;0.036173732;0.433659011;0.030202497;0.049423895;0.455814269;0.022637609;0.019730688;0.073328561;0.061620349;0.666537954;0.122177371;0.013625975;0.042825262;0.024688006
